Time,Precipitation(mm)
01/01/2015 3:00,0
02/01/2015 3:00,19.6
03/01/2015 3:00,20.8
04/01/2015 3:00,10
05/01/2015 3:00,0
06/01/2015 3:00,0
07/01/2015 3:00,0
08/01/2015 3:00,6
09/01/2015 3:00,0
10/01/2015 3:00,0
11/01/2015 3:00,0
12/01/2015 3:00,0
13/01/2015 3:00,0
14/01/2015 3:00,0
15/01/2015 3:00,0
16/01/2015 3:00,0
17/01/2015 3:00,0
18/01/2015 3:00,0
19/01/2015 3:00,0
20/01/2015 3:00,0
21/01/2015 3:00,0
22/01/2015 3:00,0
23/01/2015 3:00,0
24/01/2015 3:00,0
25/01/2015 3:00,0
26/01/2015 3:00,0
27/01/2015 3:00,0
28/01/2015 3:00,0
29/01/2015 3:00,0
30/01/2015 3:00,0
31/01/2015 3:00,0
01/02/2015 3:00,0
02/02/2015 3:00,0
03/02/2015 3:00,4
04/02/2015 3:00,0
05/02/2015 3:00,0
06/02/2015 3:00,0
07/02/2015 3:00,0
08/02/2015 3:00,0
09/02/2015 3:00,0
10/02/2015 3:00,0
11/02/2015 3:00,0
12/02/2015 3:00,0
13/02/2015 3:00,0
14/02/2015 3:00,0
15/02/2015 3:00,0
16/02/2015 3:00,0
17/02/2015 3:00,0
18/02/2015 3:00,0
19/02/2015 3:00,16.6
20/02/2015 3:00,0
21/02/2015 3:00,20
22/02/2015 3:00,0
23/02/2015 3:00,0
24/02/2015 3:00,0
25/02/2015 3:00,0
26/02/2015 3:00,4.2
27/02/2015 3:00,0
28/02/2015 3:00,0
01/03/2015 3:00,0
02/03/2015 3:00,30
03/03/2015 3:00,4.2
04/03/2015 3:00,6.8
05/03/2015 3:00,0
06/03/2015 3:00,0
07/03/2015 3:00,0
08/03/2015 3:00,0
09/03/2015 3:00,0
10/03/2015 3:00,0
11/03/2015 3:00,0
12/03/2015 3:00,0
13/03/2015 3:00,0
14/03/2015 3:00,0
15/03/2015 3:00,10
16/03/2015 3:00,4.8
17/03/2015 3:00,12
18/03/2015 3:00,0
19/03/2015 3:00,2.4
20/03/2015 3:00,0
21/03/2015 3:00,0
22/03/2015 3:00,0
23/03/2015 3:00,0
24/03/2015 3:00,0
25/03/2015 3:00,0
26/03/2015 3:00,0
27/03/2015 3:00,38.2
28/03/2015 3:00,2.6
29/03/2015 3:00,0
30/03/2015 3:00,6.6
31/03/2015 3:00,16.4
01/04/2015 3:00,0
02/04/2015 3:00,8.8
03/04/2015 3:00,0
04/04/2015 3:00,0
05/04/2015 3:00,4
06/04/2015 3:00,0
07/04/2015 3:00,0
08/04/2015 3:00,0
09/04/2015 3:00,0
10/04/2015 3:00,0
11/04/2015 3:00,4.2
12/04/2015 3:00,0
13/04/2015 3:00,8
14/04/2015 3:00,4
15/04/2015 3:00,0
16/04/2015 3:00,0
17/04/2015 3:00,0
18/04/2015 3:00,0
19/04/2015 3:00,0
20/04/2015 3:00,10.6
21/04/2015 3:00,0
22/04/2015 3:00,4.4
23/04/2015 3:00,6
24/04/2015 3:00,0
25/04/2015 3:00,2
26/04/2015 3:00,6.2
27/04/2015 3:00,0
28/04/2015 3:00,0
29/04/2015 3:00,4
30/04/2015 3:00,30.6
01/05/2015 3:00,2.2
02/05/2015 3:00,0
03/05/2015 3:00,10.8
04/05/2015 3:00,0
05/05/2015 3:00,0
06/05/2015 3:00,0
07/05/2015 3:00,0
08/05/2015 3:00,0
09/05/2015 3:00,2
10/05/2015 3:00,0
11/05/2015 3:00,0
12/05/2015 3:00,10.6
13/05/2015 3:00,0
14/05/2015 3:00,0
15/05/2015 3:00,2
16/05/2015 3:00,0
17/05/2015 3:00,0
18/05/2015 3:00,30
19/05/2015 3:00,0
20/05/2015 3:00,10
21/05/2015 3:00,2
22/05/2015 3:00,46.4
23/05/2015 3:00,0
24/05/2015 3:00,0
25/05/2015 3:00,2
26/05/2015 3:00,0
27/05/2015 3:00,4.8
28/05/2015 3:00,8.4
29/05/2015 3:00,6
30/05/2015 3:00,2
31/05/2015 3:00,4
01/06/2015 3:00,38.2
02/06/2015 3:00,4
03/06/2015 3:00,4.8
04/06/2015 3:00,0
05/06/2015 3:00,0
06/06/2015 3:00,0
07/06/2015 3:00,0
08/06/2015 3:00,0
