Date,Precipitation(mm),Max Temperature,Min Temperature,Relative Humidity
01/01/2015 3:00,0,15,8,32.9
02/01/2015 3:00,29,12.5,7,95.9
03/01/2015 3:00,26.4,13.5,8.5,92.7
04/01/2015 3:00,15.9,14.5,6.5,72.05
05/01/2015 3:00,0,13.5,5,72.05
06/01/2015 3:00,0,13,5.2,91.55
07/01/2015 3:00,0,13.5,4.5,84.75
08/01/2015 3:00,24.4,13,3.5,77.9
09/01/2015 3:00,0,15,4.5,61.6
10/01/2015 3:00,0,16,4.5,48.4
11/01/2015 3:00,0,15.5,6.5,59.45
12/01/2015 3:00,0,15,5,49.4
13/01/2015 3:00,0,14.5,5.5,66.35
14/01/2015 3:00,0,14,5.5,73.05
15/01/2015 3:00,0,14.5,5.5,91.85
16/01/2015 3:00,0,14.5,4.5,97.2
17/01/2015 3:00,0,14,4.3,91.4
18/01/2015 3:00,0.5,13.5,4.5,94.8
19/01/2015 3:00,0,14.5,4.5,93.3
20/01/2015 3:00,0,14.5,5,96.1
21/01/2015 3:00,0,15.5,5.5,94.9
22/01/2015 3:00,0,15.5,6.5,95.05
23/01/2015 3:00,0.5,15.5,4.5,89.8
24/01/2015 3:00,0,15.5,5.5,94.8
25/01/2015 3:00,0,15.5,5.5,94.65
26/01/2015 3:00,0,13,7,94.5
27/01/2015 3:00,0,15,5,90.55
28/01/2015 3:00,0,15,5,94.55
29/01/2015 3:00,0,14,5,94.85
30/01/2015 3:00,0,13.5,2.5,95.55
31/01/2015 3:00,4.7,12,2.5,89.05
01/02/2015 3:00,0,13,3,95.65
02/02/2015 3:00,0,14,4.5,96.05
03/02/2015 3:00,0,17,6,88.8
04/02/2015 3:00,4.4,16.5,4.5,94.7
05/02/2015 3:00,0,16,6,94.95
06/02/2015 3:00,0,16,6.5,94.65
07/02/2015 3:00,0,14.5,6.5,90.65
08/02/2015 3:00,0,13,6.5,78.7
09/02/2015 3:00,0,16.5,6,93.7
10/02/2015 3:00,0,16.5,6.5,93.85
11/02/2015 3:00,0,15.5,6.5,78.9
12/02/2015 3:00,0,15.5,6.5,72.8
13/02/2015 3:00,0,15,5,73.1
14/02/2015 3:00,0,13.5,7,84.3
15/02/2015 3:00,0.5,14.5,7,81.65
16/02/2015 3:00,0,16,6.5,84.45
17/02/2015 3:00,0,16.5,8.5,78.15
18/02/2015 3:00,4,15,7,84.45
19/02/2015 3:00,16.8,15.5,5,75.2
20/02/2015 3:00,0,17.5,8.5,70.1
21/02/2015 3:00,0,16.5,9,85.55
22/02/2015 3:00,0,19,8.5,72.75
23/02/2015 3:00,0,17.5,10,84.1
24/02/2015 3:00,0,17,12,86.6
