Time,Accumulated Precipitation for last 1 h(Avg),Air Temperature 1 Hour Average(Avg),Relative Humidity 1 hour average(Avg),"Wind speed (m/s) at 10 m, 1 h avg(Avg)"
11/11/2019 6:00,0.00,23.40,69.40,2.40
11/11/2019 7:00,0.00,24.30,64.70,2.50
11/11/2019 8:00,0.00,25.00,59.30,2.50
11/11/2019 9:00,0.00,25.40,57.50,2.40
11/11/2019 10:00,0.00,24.80,60.40,2.30
11/11/2019 11:00,0.00,23.30,68.40,1.70
11/11/2019 12:00,0.00,22.10,80.60,1.20
11/11/2019 13:00,0.00,21.70,80.50,1.10
11/11/2019 14:00,0.00,21.10,84.90,0.80
11/11/2019 15:00,0.00,20.00,94.90,0.60
11/11/2019 16:00,0.00,19.30,100.00,1.20
11/11/2019 17:00,0.00,19.00,100.00,1.10
11/11/2019 18:00,0.00,18.30,100.00,1.00
11/11/2019 19:00,0.00,17.70,100.00,0.90
11/11/2019 20:00,0.00,17.40,100.00,0.50
11/11/2019 21:00,0.00,17.80,100.00,0.60
11/11/2019 22:00,0.00,17.20,100.00,0.90
11/11/2019 23:00,0.00,17.10,100.00,0.50
11/12/2019 0:00,0.00,17.00,100.00,0.70
11/12/2019 1:00,0.00,15.90,100.00,1.10
11/12/2019 2:00,0.00,15.90,100.00,0.90
11/12/2019 3:00,0.00,17.10,100.00,1.00
11/12/2019 4:00,0.00,18.90,98.20,1.10
11/12/2019 5:00,0.00,21.50,79.90,1.70
11/12/2019 6:00,0.00,23.30,64.70,2.10
11/12/2019 7:00,0.00,24.20,62.00,2.60
11/12/2019 8:00,0.00,24.90,56.80,2.40
11/12/2019 9:00,0.00,25.00,55.10,2.30
11/12/2019 10:00,0.00,24.80,55.50,2.40
11/12/2019 11:00,0.00,24.10,61.00,1.80
11/12/2019 12:00,0.00,22.20,74.10,1.30
11/12/2019 13:00,0.00,21.20,81.20,0.70
11/12/2019 14:00,0.00,20.70,83.00,0.90
11/12/2019 15:00,0.00,19.70,95.70,0.90
11/12/2019 16:00,0.00,19.00,99.30,0.70
11/12/2019 17:00,0.00,18.70,100.00,0.80
11/12/2019 18:00,0.00,18.60,99.90,1.10
11/12/2019 19:00,0.00,17.80,99.80,1.50
11/12/2019 20:00,0.00,17.30,100.00,0.90
11/12/2019 21:00,0.00,16.90,100.00,0.80
11/12/2019 22:00,0.00,16.80,100.00,1.00
11/12/2019 23:00,0.00,16.30,100.00,0.70
13/11/2019 0:00,0.00,16.60,100.00,0.60
13/11/2019 1:00,0.00,16.70,100.00,0.40
13/11/2019 2:00,0.00,16.40,100.00,1.00
13/11/2019 3:00,0.00,17.70,98.40,0.70
13/11/2019 4:00,0.00,20.00,91.00,1.20
13/11/2019 5:00,0.00,21.40,81.00,1.50
13/11/2019 6:00,0.00,23.10,67.30,1.90
13/11/2019 7:00,0.00,24.50,56.60,2.30
13/11/2019 8:00,0.00,25.10,49.90,1.90
13/11/2019 9:00,0.00,25.00,51.70,2.20
13/11/2019 10:00,0.00,24.50,51.00,1.80
13/11/2019 11:00,0.00,23.70,58.30,1.50
13/11/2019 12:00,0.00,22.40,68.40,1.10
13/11/2019 13:00,0.00,21.20,80.30,1.10
13/11/2019 14:00,0.00,20.50,84.00,1.00
13/11/2019 15:00,0.00,19.70,88.10,1.10
13/11/2019 16:00,0.00,19.20,97.90,0.60
13/11/2019 17:00,0.00,18.70,99.60,0.80
13/11/2019 18:00,0.00,18.10,100.00,0.70
13/11/2019 19:00,0.00,18.10,99.30,0.80
13/11/2019 20:00,0.00,17.80,100.00,1.70
13/11/2019 21:00,0.00,17.50,100.00,1.40
13/11/2019 22:00,0.00,17.10,100.00,1.20
13/11/2019 23:00,0.00,17.10,100.00,1.00
14/11/2019 0:00,0.00,16.80,100.00,0.80
14/11/2019 1:00,0.00,16.50,100.00,1.00
14/11/2019 2:00,0.00,16.50,100.00,1.00
14/11/2019 3:00,0.00,17.50,99.20,0.50
14/11/2019 4:00,0.00,20.40,80.30,1.00
14/11/2019 5:00,0.00,22.20,67.90,1.30
14/11/2019 6:00,0.00,23.10,62.20,1.00
14/11/2019 7:00,0.00,23.60,60.80,1.10
14/11/2019 8:00,0.00,23.40,64.90,1.40
14/11/2019 9:00,0.00,24.90,57.70,1.30
14/11/2019 10:00,0.00,25.70,54.80,1.20
14/11/2019 11:00,0.00,24.60,60.80,1.60
14/11/2019 12:00,0.00,21.20,72.30,2.50
14/11/2019 13:00,0.00,19.60,76.10,1.80
14/11/2019 14:00,0.00,18.50,82.60,1.50
14/11/2019 15:00,0.00,17.40,91.90,1.00
14/11/2019 16:00,0.00,16.70,98.10,1.10
14/11/2019 17:00,0.00,16.40,99.90,1.00
14/11/2019 18:00,0.00,15.70,100.00,0.70
14/11/2019 19:00,0.00,15.70,100.00,2.00
14/11/2019 20:00,0.00,15.70,100.00,1.70
14/11/2019 21:00,0.00,15.60,100.00,2.00
14/11/2019 22:00,0.00,15.40,100.00,1.20
14/11/2019 23:00,0.00,14.90,100.00,1.10
15/11/2019 0:00,0.00,15.20,100.00,1.30
15/11/2019 1:00,0.00,15.10,100.00,0.80
15/11/2019 2:00,0.00,15.40,100.00,1.20
15/11/2019 3:00,0.00,17.00,96.20,0.80
15/11/2019 4:00,0.00,18.80,85.60,0.90
15/11/2019 5:00,0.00,21.20,66.50,1.20
15/11/2019 6:00,0.00,23.30,59.10,1.90
15/11/2019 7:00,0.00,24.90,53.50,2.10
15/11/2019 8:00,0.00,25.80,53.00,2.30
15/11/2019 9:00,0.00,26.30,52.10,2.40
15/11/2019 10:00,0.00,26.00,54.80,2.20
15/11/2019 11:00,0.00,25.00,57.00,1.80
15/11/2019 12:00,0.00,22.20,76.60,1.70
