Time,"Wind speed (m/s) at 10 m, 1 h avg(Avg)"
11/11/2019 06:00:00,2.4
11/11/2019 07:00:00,2.5
11/11/2019 08:00:00,2.5
11/11/2019 09:00:00,2.4
11/11/2019 10:00:00,2.3
11/11/2019 11:00:00,1.7
11/11/2019 12:00:00,1.2
11/11/2019 13:00:00,1.099
11/11/2019 14:00:00,0.799
11/11/2019 15:00:00,0.6
11/11/2019 16:00:00,1.2
11/11/2019 17:00:00,1.099
11/11/2019 18:00:00,1
11/11/2019 19:00:00,0.9
11/11/2019 20:00:00,0.5
11/11/2019 21:00:00,0.6
11/11/2019 22:00:00,0.9
11/11/2019 23:00:00,0.5
11/12/2019 00:00:00,0.7
11/12/2019 01:00:00,1.1
11/12/2019 02:00:00,0.9
11/12/2019 03:00:00,1
11/12/2019 04:00:00,1.099
11/12/2019 05:00:00,1.7
11/12/2019 06:00:00,2.1
11/12/2019 07:00:00,2.6
11/12/2019 08:00:00,2.4
11/12/2019 09:00:00,2.3
11/12/2019 10:00:00,2.4
11/12/2019 11:00:00,1.8
11/12/2019 12:00:00,1.3
11/12/2019 13:00:00,0.7
11/12/2019 14:00:00,0.9
11/12/2019 15:00:00,0.9
11/12/2019 16:00:00,0.7
11/12/2019 17:00:00,0.799
11/12/2019 18:00:00,1.099
11/12/2019 19:00:00,1.5
11/12/2019 20:00:00,0.9
11/12/2019 21:00:00,0.799
11/12/2019 22:00:00,1
11/12/2019 23:00:00,0.7
11/13/2019 00:00:00,0.6
11/13/2019 01:00:00,0.4
11/13/2019 02:00:00,1
11/13/2019 03:00:00,0.7
11/13/2019 04:00:00,1.2
11/13/2019 05:00:00,1.5
11/13/2019 06:00:00,1.9
11/13/2019 07:00:00,2.3
11/13/2019 08:00:00,1.9
11/13/2019 09:00:00,2.199
11/13/2019 10:00:00,1.8
11/13/2019 11:00:00,1.5
11/13/2019 12:00:00,1.1
11/13/2019 13:00:00,1.099
11/13/2019 14:00:00,1
11/13/2019 15:00:00,1.099
11/13/2019 16:00:00,0.6
11/13/2019 17:00:00,0.799
11/13/2019 18:00:00,0.7
11/13/2019 19:00:00,0.799
11/13/2019 20:00:00,1.7
11/13/2019 21:00:00,1.4
11/13/2019 22:00:00,1.2
11/13/2019 23:00:00,1
11/14/2019 00:00:00,0.799
11/14/2019 01:00:00,1
11/14/2019 02:00:00,1
11/14/2019 03:00:00,0.5
11/14/2019 04:00:00,1
11/14/2019 05:00:00,1.3
11/14/2019 06:00:00,1
11/14/2019 07:00:00,1.099
11/14/2019 08:00:00,1.4
11/14/2019 09:00:00,1.3
11/14/2019 10:00:00,1.2
11/14/2019 11:00:00,1.599
11/14/2019 12:00:00,2.5
11/14/2019 13:00:00,1.8
11/14/2019 14:00:00,1.5
11/14/2019 15:00:00,1
11/14/2019 16:00:00,1.099
11/14/2019 17:00:00,1
11/14/2019 18:00:00,0.7
11/14/2019 19:00:00,2
11/14/2019 20:00:00,1.7
11/14/2019 21:00:00,2
11/14/2019 22:00:00,1.2
11/14/2019 23:00:00,1.1
11/15/2019 00:00:00,1.3
11/15/2019 01:00:00,0.799
11/15/2019 02:00:00,1.2
11/15/2019 03:00:00,0.8
11/15/2019 04:00:00,0.9
11/15/2019 05:00:00,1.2
11/15/2019 06:00:00,1.9
11/15/2019 07:00:00,2.1
11/15/2019 08:00:00,2.3
11/15/2019 09:00:00,2.4
11/15/2019 10:00:00,2.199
11/15/2019 11:00:00,1.8
11/15/2019 12:00:00,1.7
11/15/2019 13:00:00,1.3
11/15/2019 14:00:00,1.099
11/15/2019 15:00:00,1.099
11/15/2019 16:00:00,1
11/15/2019 17:00:00,0.9
11/15/2019 18:00:00,1.4
11/15/2019 19:00:00,0.9
11/15/2019 20:00:00,0.549
11/15/2019 21:00:00,0.8
11/15/2019 22:00:00,0.7
11/15/2019 23:00:00,1.599
11/16/2019 00:00:00,0.799
11/16/2019 01:00:00,0.8
11/16/2019 02:00:00,1.099
11/16/2019 03:00:00,1.099
11/16/2019 04:00:00,0.799
11/16/2019 05:00:00,1.1
11/16/2019 06:00:00,2
11/16/2019 07:00:00,1.8
11/16/2019 08:00:00,1.8
11/16/2019 09:00:00,2.3
11/16/2019 10:00:00,1.7
11/16/2019 11:00:00,1.099
11/16/2019 12:00:00,1.3
11/16/2019 13:00:00,1.3
11/16/2019 14:00:00,1.2
11/16/2019 15:00:00,1
11/16/2019 16:00:00,0.9
11/16/2019 17:00:00,0.5
11/16/2019 18:00:00,0.9
11/16/2019 19:00:00,0.9
11/16/2019 20:00:00,0.9
11/16/2019 21:00:00,0.9
11/16/2019 22:00:00,1.2
11/16/2019 23:00:00,1
11/17/2019 00:00:00,1
11/17/2019 01:00:00,0.7
11/17/2019 02:00:00,0.799
11/17/2019 03:00:00,1.3
11/17/2019 04:00:00,1.3
11/17/2019 05:00:00,1.599
11/17/2019 06:00:00,1.9
11/17/2019 07:00:00,2.3
11/17/2019 08:00:00,2.1
11/17/2019 09:00:00,2.1
11/17/2019 10:00:00,2.6
11/17/2019 11:00:00,2.1
11/17/2019 12:00:00,1.2
11/17/2019 13:00:00,1.099
11/17/2019 14:00:00,1
11/17/2019 15:00:00,0.9
11/17/2019 16:00:00,1
11/17/2019 17:00:00,0.9
11/17/2019 18:00:00,0.799
11/17/2019 19:00:00,0.9
11/17/2019 20:00:00,0.9
11/17/2019 21:00:00,1
11/17/2019 22:00:00,0.6
11/17/2019 23:00:00,1
11/18/2019 00:00:00,1
11/18/2019 01:00:00,0.7
11/18/2019 02:00:00,0.9
11/18/2019 03:00:00,1
11/18/2019 04:00:00,1.599
11/18/2019 05:00:00,2
11/18/2019 06:00:00,1.9
11/18/2019 07:00:00,2.199
11/18/2019 08:00:00,2.3
11/18/2019 09:00:00,2.4
11/18/2019 10:00:00,2
11/18/2019 11:00:00,1.9
11/18/2019 12:00:00,1.599
11/18/2019 13:00:00,1.9
11/18/2019 14:00:00,1.6
11/18/2019 15:00:00,1.3
11/18/2019 16:00:00,1.099
11/18/2019 17:00:00,1.3
11/18/2019 18:00:00,1.2
11/18/2019 19:00:00,0.9
11/18/2019 20:00:00,0.6
11/18/2019 21:00:00,0.5
11/18/2019 22:00:00,0.799
11/18/2019 23:00:00,0.5
11/19/2019 00:00:00,0.9
11/19/2019 01:00:00,0.7
11/19/2019 02:00:00,0.9
11/19/2019 03:00:00,0.9
11/19/2019 04:00:00,1.7
11/19/2019 05:00:00,1.8
11/19/2019 06:00:00,2.1
11/19/2019 07:00:00,2.199
11/19/2019 08:00:00,2
11/19/2019 09:00:00,2.2
11/19/2019 10:00:00,2.199
11/19/2019 11:00:00,1.9
11/19/2019 12:00:00,1.5
11/19/2019 13:00:00,1.2
11/19/2019 14:00:00,1.2
11/19/2019 15:00:00,1.099
11/19/2019 16:00:00,1
11/19/2019 17:00:00,0.8
11/19/2019 18:00:00,0.7
11/19/2019 19:00:00,0.6
11/19/2019 20:00:00,0.9
11/19/2019 21:00:00,0.9
11/19/2019 22:00:00,0.6
11/19/2019 23:00:00,0.799
11/20/2019 00:00:00,1.2
11/20/2019 01:00:00,0.799
11/20/2019 02:00:00,0.7
11/20/2019 03:00:00,0.799
11/20/2019 04:00:00,1.2
11/20/2019 05:00:00,1.8
11/20/2019 06:00:00,2.2
11/20/2019 07:00:00,2.5
11/20/2019 08:00:00,2.6
11/20/2019 09:00:00,2.3
11/20/2019 10:00:00,2.1
11/20/2019 11:00:00,1.8
11/20/2019 12:00:00,1.099
11/20/2019 13:00:00,0.7
11/20/2019 14:00:00,1.099
11/20/2019 15:00:00,0.9
11/20/2019 16:00:00,0.799
11/20/2019 17:00:00,0.799
11/20/2019 18:00:00,0.799
11/20/2019 19:00:00,0.6
11/20/2019 20:00:00,0.9
11/20/2019 21:00:00,1
11/20/2019 22:00:00,0.9
11/20/2019 23:00:00,0.6
11/21/2019 00:00:00,0.8
