Time,Pokhara Airport,Lumle,Begnas
01/01/2015 03:00:00,0,0,0
01/02/2015 03:00:00,15.4,29,16.8
01/03/2015 03:00:00,21.4,26.4,33.6
01/04/2015 03:00:00,15.9,15.9,11.6
01/05/2015 03:00:00,0,0,0
01/06/2015 03:00:00,0,0,0
01/07/2015 03:00:00,0,0,0
01/08/2015 03:00:00,1.6,24.4,0
01/09/2015 03:00:00,0,0,0
01/10/2015 03:00:00,0,0,0
01/11/2015 03:00:00,0,0,0
01/12/2015 03:00:00,0,0,0
01/13/2015 03:00:00,0,0,0
01/14/2015 03:00:00,0,0,0
01/15/2015 03:00:00,0,0,0
01/16/2015 03:00:00,0,0,0
01/17/2015 03:00:00,0,0,0
01/18/2015 03:00:00,0,0.5,0
01/19/2015 03:00:00,0,0,0
01/20/2015 03:00:00,0,0,0
01/21/2015 03:00:00,0,0,0
01/22/2015 03:00:00,0,0,0
01/23/2015 03:00:00,0,0.5,0
01/24/2015 03:00:00,0,0,0
01/25/2015 03:00:00,0,0,0
01/26/2015 03:00:00,0,0,0
01/27/2015 03:00:00,0,0,0
01/28/2015 03:00:00,0,0,0
01/29/2015 03:00:00,0,0,0
01/30/2015 03:00:00,0,0,0
01/31/2015 03:00:00,0,4.7,0
02/01/2015 03:00:00,0,0,0
02/02/2015 03:00:00,0,0,0
02/03/2015 03:00:00,0,0,0
02/04/2015 03:00:00,3.8,4.4,4.4
02/05/2015 03:00:00,0,0,0
02/06/2015 03:00:00,0,0,0
02/07/2015 03:00:00,0,0,0
02/08/2015 03:00:00,0,0,0
02/09/2015 03:00:00,0,0,0
02/10/2015 03:00:00,0,0,0
02/11/2015 03:00:00,0,0,0
02/12/2015 03:00:00,0,0,0
02/13/2015 03:00:00,0,0,0
02/14/2015 03:00:00,0,0,0
02/15/2015 03:00:00,0,0.5,0
02/16/2015 03:00:00,0,0,0
02/17/2015 03:00:00,0,0,0
02/18/2015 03:00:00,0,4,0
02/19/2015 03:00:00,19.5,16.8,18.5
02/20/2015 03:00:00,0,0,0
02/21/2015 03:00:00,0,0,0
02/22/2015 03:00:00,0,0,0
02/23/2015 03:00:00,0,0,0
02/24/2015 03:00:00,0,0,0
02/25/2015 03:00:00,0,7.8,0
02/26/2015 03:00:00,3,0,2.3
02/27/2015 03:00:00,4,3.5,6.2
02/28/2015 03:00:00,0,0,0
03/01/2015 03:00:00,0,0,0.2
03/02/2015 03:00:00,26.9,37.5,28.2
03/03/2015 03:00:00,4.1,3.5,5.3
03/04/2015 03:00:00,11.9,0.5,4.5
03/05/2015 03:00:00,0,0,2
03/06/2015 03:00:00,0,0,0
03/07/2015 03:00:00,0.6,0,1
03/08/2015 03:00:00,0,0,0
03/09/2015 03:00:00,0,0.8,0
03/10/2015 03:00:00,0,0,0
03/11/2015 03:00:00,0,0,0
03/12/2015 03:00:00,0,0,0
03/13/2015 03:00:00,0,0,0
03/14/2015 03:00:00,0,0,1.9
03/15/2015 03:00:00,33.1,1.2,2.2
03/16/2015 03:00:00,3,6.7,0
03/17/2015 03:00:00,0,0,0
03/18/2015 03:00:00,0,0,9.4
03/19/2015 03:00:00,10.2,2,0
03/20/2015 03:00:00,0,0,0
03/21/2015 03:00:00,0,0,0
03/22/2015 03:00:00,0,0.5,0
03/23/2015 03:00:00,0,0,0
03/24/2015 03:00:00,0,0.5,0
03/25/2015 03:00:00,0,0,0
03/26/2015 03:00:00,0,0.4,0
03/27/2015 03:00:00,54.4,6.5,10.2
03/28/2015 03:00:00,6.6,14.5,1.6
03/29/2015 03:00:00,0,0,0
03/30/2015 03:00:00,1.8,13.4,3.6
03/31/2015 03:00:00,15.3,18.4,0
04/01/2015 03:00:00,0,0.2,0
04/02/2015 03:00:00,0,0.7,0
04/03/2015 03:00:00,0,1.5,7
04/04/2015 03:00:00,0.7,2.2,0
04/05/2015 03:00:00,3,7.5,1.3
04/06/2015 03:00:00,0,0,0
04/07/2015 03:00:00,0,0,0
04/08/2015 03:00:00,0,0,0
04/09/2015 03:00:00,0,0,0
04/10/2015 03:00:00,0,0,0
04/11/2015 03:00:00,0.1,0,0
04/12/2015 03:00:00,0,4.5,0
04/13/2015 03:00:00,16.1,19.6,9.2
