Time,Pokhara Airport,Lumle,Begnas
2015-01-01 03:00:00,9.5,8.0,8.5
2015-01-02 03:00:00,12.0,7.0,12.0
2015-01-03 03:00:00,13.3,8.5,13.0
2015-01-04 03:00:00,10.6,6.5,12.0
2015-01-05 03:00:00,9.4,5.0,11.6
2015-01-06 03:00:00,12.0,5.2,12.0
2015-01-07 03:00:00,9.9,4.5,10.5
2015-01-08 03:00:00,9.8,3.5,9.4
2015-01-09 03:00:00,6.7,4.5,6.5
2015-01-10 03:00:00,7.0,4.5,6.6
2015-01-11 03:00:00,6.9,6.5,7.0
2015-01-12 03:00:00,5.7,5.0,6.4
2015-01-13 03:00:00,6.5,5.5,6.8
2015-01-14 03:00:00,7.2,5.5,7.0
2015-01-15 03:00:00,7.2,5.5,8.6
2015-01-16 03:00:00,7.2,4.5,5.5
2015-01-17 03:00:00,6.9,4.3,5.5
2015-01-18 03:00:00,7.0,4.5,6.0
2015-01-19 03:00:00,7.3,4.5,6.0
2015-01-20 03:00:00,6.7,5.0,5.7
2015-01-21 03:00:00,7.2,5.5,7.0
2015-01-22 03:00:00,7.0,6.5,6.7
2015-01-23 03:00:00,10.4,4.5,9.5
2015-01-24 03:00:00,7.6,5.5,7.5
2015-01-25 03:00:00,8.0,5.5,7.0
2015-01-26 03:00:00,11.5,7.0,11.5
2015-01-27 03:00:00,7.8,5.0,8.4
2015-01-28 03:00:00,8.0,5.0,7.5
2015-01-29 03:00:00,8.1,5.0,7.0
2015-01-30 03:00:00,5.8,2.5,5.2
2015-01-31 03:00:00,7.2,2.5,6.0
2015-02-01 03:00:00,6.5,3.0,6.0
2015-02-02 03:00:00,7.7,4.5,6.6
2015-02-03 03:00:00,7.8,6.0,6.0
2015-02-04 03:00:00,7.7,4.5,9.0
2015-02-05 03:00:00,8.8,6.0,8.3
2015-02-06 03:00:00,10.3,6.5,8.0
2015-02-07 03:00:00,9.7,6.5,9.8
2015-02-08 03:00:00,9.6,6.5,9.0
2015-02-09 03:00:00,8.6,6.0,10.0
2015-02-10 03:00:00,9.1,6.5,8.0
2015-02-11 03:00:00,9.6,6.5,9.0
2015-02-12 03:00:00,9.4,6.5,10.0
2015-02-13 03:00:00,9.1,5.0,8.0
2015-02-14 03:00:00,12.8,7.0,12.0
2015-02-15 03:00:00,13.4,7.0,12.5
2015-02-16 03:00:00,10.5,6.5,10.0
2015-02-17 03:00:00,13.0,8.5,11.5
2015-02-18 03:00:00,12.3,7.0,11.0
2015-02-19 03:00:00,9.4,5.0,10.5
2015-02-20 03:00:00,12.1,8.5,11.0
