Time,Pokhara Airport,Lumle,Begnas
01/01/2015,71.95,32.9,83.45
02/01/2015,96.5,95.9,97.75
03/01/2015,93.9,92.7,94.45
04/01/2015,84.6,72.05,84.3
05/01/2015,73.7,72.05,90.9
06/01/2015,82.65,91.55,75.2
07/01/2015,77.2,84.75,61.35
08/01/2015,78.8,77.9,78.6
09/01/2015,75.45,61.6,83.75
10/01/2015,73.7,48.4,93.4
11/01/2015,81.7,59.45,93
12/01/2015,75.8,49.4,96.8
13/01/2015,77.7,66.35,87
14/01/2015,73.55,73.05,81.45
15/01/2015,72.8,91.85,78.9
16/01/2015,72.35,97.2,73.95
17/01/2015,70.45,91.4,73.75
18/01/2015,72.6,94.8,76
19/01/2015,70.4,93.3,85.4
20/01/2015,74.55,96.1,100
21/01/2015,70.75,94.9,75.8
22/01/2015,72.4,95.05,85
23/01/2015,68.25,89.8,84.55
24/01/2015,73.9,94.8,78.35
25/01/2015,81.25,94.65,87.7
26/01/2015,81.75,94.5,83.65
27/01/2015,73.45,90.55,76.8
28/01/2015,67.6,94.55,78.1
29/01/2015,60.45,94.85,68.05
30/01/2015,70.55,95.55,77.9
31/01/2015,75.4,89.05,73.25
01/02/2015,69.25,95.65,73.1
02/02/2015,62.15,96.05,55.8
03/02/2015,75.55,88.8,70.7
04/02/2015,69.8,94.7,83.3
05/02/2015,71,94.95,82.85
06/02/2015,71.9,94.65,80.25
07/02/2015,72.25,90.65,80.1
08/02/2015,79.3,78.7,89.55
09/02/2015,65.7,93.7,76.4
10/02/2015,68.85,93.85,79.25
11/02/2015,76.8,78.9,78.85
12/02/2015,74.2,72.8,87.4
13/02/2015,70.25,73.1,68.6
14/02/2015,73.6,84.3,63.15
15/02/2015,66.55,81.65,77.3
16/02/2015,69.35,84.45,78.8
17/02/2015,70.95,78.15,65.85
18/02/2015,86.5,84.45,89.05
19/02/2015,70.25,75.2,82.05
20/02/2015,60.5,70.1,61.6
21/02/2015,76.2,85.55,75.05
22/02/2015,72.45,72.75,92.5
23/02/2015,70.3,84.1,77.9
24/02/2015,73.45,86.6,68.8
25/02/2015,81.3,94.25,86.45
26/02/2015,83.3,94.55,82.75
27/02/2015,67.05,62.3,63.75
28/02/2015,59.6,58.05,70
01/03/2015,83.7,69.85,92.25
02/03/2015,83.8,83.5,98.25
03/03/2015,87.45,93.3,96.05
04/03/2015,71.75,67.7,79.95
05/03/2015,63.55,68.65,90.6
06/03/2015,66.1,73.1,90
07/03/2015,64.65,62.95,95.1
08/03/2015,56.8,55.35,81.35
09/03/2015,47.35,38.35,63.9
10/03/2015,47.05,34.6,76.8
11/03/2015,49.3,40.55,61.05
12/03/2015,57.8,51.05,57
13/03/2015,63.25,78.15,71.85
14/03/2015,76.3,63.6,79.1
15/03/2015,79.2,64.3,77.3
16/03/2015,69.65,67.95,73.6
17/03/2015,49.8,75,57.75
18/03/2015,78.6,62,68.9
19/03/2015,65.9,53.6,60.8
20/03/2015,58.35,66.8,60.95
21/03/2015,62.8,69.55,68.95
22/03/2015,59.15,60.85,75.95
23/03/2015,64.45,70.9,70.75
24/03/2015,60.9,59.5,71.75
25/03/2015,62.45,57.6,70.2
26/03/2015,60.55,61.15,63.9
27/03/2015,82.1,78,83.65
28/03/2015,67.05,71.95,68.5
29/03/2015,82.4,87.7,75.2
30/03/2015,89.1,86.15,93.3
31/03/2015,70.35,74.4,69.55
01/04/2015,69.35,82.45,65.35
02/04/2015,68.65,72.55,66.65
03/04/2015,63.4,71.3,68.45
04/04/2015,68.45,63.65,80.1
05/04/2015,53.65,39.7,73.9
06/04/2015,53.7,50.35,61.45
07/04/2015,58.15,61.55,71.5
08/04/2015,47.55,47.45,54.2
09/04/2015,47.35,48.3,52.9
10/04/2015,58.25,48.15,62.35
11/04/2015,50.9,58.5,60.05
12/04/2015,56.45,66,67.6
13/04/2015,86.15,95.1,93.1
14/04/2015,80.5,81.35,82.1
15/04/2015,73.8,69.1,82.95
16/04/2015,51.3,55.75,56.45
17/04/2015,70.25,64.75,61.65
18/04/2015,72.15,80.75,76.85
19/04/2015,58.35,69.75,66.5
20/04/2015,67.3,85.3,79.25
21/04/2015,67.5,76.4,79.55
22/04/2015,83.6,64.2,88.45
23/04/2015,74.75,49.25,67.35
24/04/2015,48.05,58.45,56.85
25/04/2015,77.2,88.55,70.45
26/04/2015,63.85,71.2,72.1
27/04/2015,64.6,81.1,76.55
28/04/2015,67.05,75.8,66.1
29/04/2015,75.15,76.9,82
30/04/2015,78.25,93.35,83.8
01/05/2015,67.2,83.9,70.3
02/05/2015,74.15,70.5,93.4
03/05/2015,48.05,47.55,73.95
04/05/2015,58.6,58,57.9
05/05/2015,57.75,55.8,72.7
06/05/2015,64.7,61.2,78.65
07/05/2015,71.5,72.6,71.1
08/05/2015,67.2,85.6,84.55
09/05/2015,84.7,90.95,83.2
10/05/2015,81.2,91.1,79.25
11/05/2015,79.55,78.75,86.05
12/05/2015,58,65.85,67.4
13/05/2015,69.1,72.05,69
14/05/2015,61.6,76.85,69.65
15/05/2015,72.55,78.6,64.65
16/05/2015,55.85,52.8,74.55
17/05/2015,49.55,57.7,69.5
18/05/2015,75.05,90.15,80.7
19/05/2015,60.7,81.65,75
20/05/2015,88.8,87.55,87.35
21/05/2015,84.65,90.15,86.7
22/05/2015,62.75,67.9,72.05
23/05/2015,70.25,65.1,81.25
24/05/2015,70.7,58.05,78.55
25/05/2015,58.6,63.7,70.3
26/05/2015,76,67,81.3
27/05/2015,77,65.9,89.05
28/05/2015,73.15,76.75,72.45
29/05/2015,67.5,74.15,73.85
30/05/2015,84,87.15,87.05
31/05/2015,84.5,79,69.4
01/06/2015,66.45,56.1,84.85
02/06/2015,62.45,40.05,73.65
03/06/2015,56.5,62.35,69.25
04/06/2015,66.15,77.85,70.7
05/06/2015,57.8,68.6,67.1
06/06/2015,59.45,74.35,60
07/06/2015,54.05,60.7,68.9
08/06/2015,57.25,67.35,64.6
09/06/2015,85,75.35,89.25
10/06/2015,83.2,86,82.2
11/06/2015,96.05,97,89.8
12/06/2015,95.95,98,85.75
13/06/2015,84.35,91.25,85.4
14/06/2015,72.2,82.05,78.05
15/06/2015,70.1,86.15,85.8
16/06/2015,70.75,86.85,78.3
17/06/2015,64.15,78.8,76.5
18/06/2015,65.45,89.35,72.95
19/06/2015,75.1,86.95,74.7
20/06/2015,75.6,79,81.2
21/06/2015,82.85,92.85,79.45
22/06/2015,72.5,91.6,95.05
23/06/2015,77.05,89.05,87.55
24/06/2015,78.7,94.45,82.6
25/06/2015,84.4,88.85,79.05
26/06/2015,84.6,93.6,86.15
27/06/2015,82.55,89.05,86.95
28/06/2015,92.3,95.05,87.65
29/06/2015,75.4,86.2,78
30/06/2015,73.7,88.15,76.9
01/07/2015,83.6,99.05,81.85
02/07/2015,80.65,92.55,82.95
03/07/2015,86.5,94,86.8
04/07/2015,77.8,96.3,84
05/07/2015,85.3,98.55,84.15
06/07/2015,77.2,94.4,78.8
07/07/2015,80.15,89.7,82.05
08/07/2015,70.4,77.4,74.5
09/07/2015,76.1,81,75.65
10/07/2015,75.25,86.95,78.5
11/07/2015,86.85,92.2,94.15
12/07/2015,86.85,81.55,76.45
13/07/2015,81.4,90,84.8
14/07/2015,82.05,90.05,86.3
15/07/2015,94.1,98.1,87.7
16/07/2015,93.35,97.05,95.6
17/07/2015,82.4,85.35,92.05
18/07/2015,79.7,82.85,76.65
19/07/2015,73.2,83,75.5
20/07/2015,73.75,91.45,89.85
21/07/2015,74.25,87.8,82.45
22/07/2015,84.65,89.3,79.6
23/07/2015,82.4,94.4,83.2
24/07/2015,77.2,89.2,84.7
25/07/2015,84.4,97.05,95.65
26/07/2015,71.95,85.55,77.05
27/07/2015,80.55,85,83.95
28/07/2015,76.45,92.45,83.45
29/07/2015,78.05,91.8,82.65
30/07/2015,83.8,88.95,86.9
31/07/2015,88.5,88.95,86.7
01/08/2015,91.65,97.95,94.75
02/08/2015,84.1,98,83.85
03/08/2015,72.4,89.6,73.75
04/08/2015,79.8,93.3,77.85
05/08/2015,79.85,97.05,83.1
06/08/2015,92.6,96,87.7
07/08/2015,87.4,95.15,81.65
08/08/2015,83.7,92.4,84.35
09/08/2015,81.3,94.45,84.4
10/08/2015,79.9,91.05,81.05
11/08/2015,76,93.65,80.8
12/08/2015,84.1,90.8,74.9
13/08/2015,77.3,86.2,81.25
14/08/2015,78.9,95.3,80.65
15/08/2015,82.7,94.25,76.35
16/08/2015,84.05,96.2,80.5
17/08/2015,84.1,96.2,85.55
18/08/2015,83.8,95.2,82.4
19/08/2015,90.55,96.65,86.1
20/08/2015,87.15,95.25,88.3
21/08/2015,85.1,94.15,88.85
22/08/2015,80.05,94.3,83.95
