Time,Pokhara Airport,Lumle,Begnas
01/01/2015 3:00,9.5,8,8.5
01/02/2015 3:00,12,7,12
01/03/2015 3:00,13.3,8.5,13
01/04/2015 3:00,10.6,6.5,12
01/05/2015 3:00,9.4,5,11.6
01/06/2015 3:00,12,5.2,12
01/07/2015 3:00,9.9,4.5,10.5
01/08/2015 3:00,9.8,3.5,9.4
01/09/2015 3:00,6.7,4.5,6.5
01/10/2015 3:00,7,4.5,6.6
01/11/2015 3:00,6.9,6.5,7
01/12/2015 3:00,5.7,5,6.4
01/13/2015 03:00:00,6.5,5.5,6.8
01/14/2015 03:00:00,7.2,5.5,7
01/15/2015 03:00:00,7.2,5.5,8.6
01/16/2015 03:00:00,7.2,4.5,5.5
01/17/2015 03:00:00,6.9,4.3,5.5
01/18/2015 03:00:00,7,4.5,6
01/19/2015 03:00:00,7.3,4.5,6
01/20/2015 03:00:00,6.7,5,5.7
01/21/2015 03:00:00,7.2,5.5,7
01/22/2015 03:00:00,7,6.5,6.7
01/23/2015 03:00:00,10.4,4.5,9.5
01/24/2015 03:00:00,7.6,5.5,7.5
01/25/2015 03:00:00,8,5.5,7
01/26/2015 03:00:00,11.5,7,11.5
01/27/2015 03:00:00,7.8,5,8.4
01/28/2015 03:00:00,8,5,7.5
01/29/2015 03:00:00,8.1,5,7
01/30/2015 03:00:00,5.8,2.5,5.2
01/31/2015 03:00:00,7.2,2.5,6
02/01/2015 3:00,6.5,3,6
02/02/2015 3:00,7.7,4.5,6.6
02/03/2015 3:00,7.8,6,6
02/04/2015 3:00,7.7,4.5,9
02/05/2015 3:00,8.8,6,8.3
02/06/2015 3:00,10.3,6.5,8
02/07/2015 3:00,9.7,6.5,9.8
02/08/2015 3:00,9.6,6.5,9
02/09/2015 3:00,8.6,6,10
02/10/2015 3:00,9.1,6.5,8
02/11/2015 3:00,9.6,6.5,9
02/12/2015 3:00,9.4,6.5,10
02/13/2015 03:00:00,9.1,5,8
02/14/2015 03:00:00,12.8,7,12
02/15/2015 03:00:00,13.4,7,12.5
02/16/2015 03:00:00,10.5,6.5,10
02/17/2015 03:00:00,13,8.5,11.5
02/18/2015 03:00:00,12.3,7,11
02/19/2015 03:00:00,9.4,5,10.5
02/20/2015 03:00:00,12.1,8.5,11
02/21/2015 03:00:00,14.8,9,13.5
02/22/2015 03:00:00,13.4,8.5,13.5
02/23/2015 03:00:00,14.5,10,14
02/24/2015 03:00:00,17.3,12,17
02/25/2015 03:00:00,16.5,12,16
02/26/2015 03:00:00,15.2,8.5,13
02/27/2015 03:00:00,11.5,7,11
02/28/2015 03:00:00,11.9,9,16.2
03/01/2015 3:00,13.8,8,13
03/02/2015 3:00,12.4,6.5,13
03/03/2015 3:00,13.3,7.5,13
03/04/2015 3:00,8.7,6,10.2
03/05/2015 3:00,9.2,9,9.2
03/06/2015 3:00,10.5,6.5,10
03/07/2015 3:00,11.3,7,10.5
03/08/2015 3:00,12.4,8.5,12
03/09/2015 3:00,11.5,8,10.5
03/10/2015 3:00,12.6,8.4,11
03/11/2015 3:00,12.5,9.5,10.9
03/12/2015 3:00,13,10.5,11.6
03/13/2015 03:00:00,15.5,11.5,14.9
03/14/2015 03:00:00,16.9,12,14.5
03/15/2015 03:00:00,14.5,10.4,14.4
03/16/2015 03:00:00,13.2,7.6,13.4
03/17/2015 03:00:00,12.9,9,11.5
03/18/2015 03:00:00,13.7,9.5,12.5
03/19/2015 03:00:00,10.2,6.5,9.4
03/20/2015 03:00:00,12.8,8.5,11.5
03/21/2015 03:00:00,15.5,11,14.3
03/22/2015 03:00:00,15.8,8.5,14.5
03/23/2015 03:00:00,17,11,15.5
03/24/2015 03:00:00,16,10.6,13.5
03/25/2015 03:00:00,18.3,14.2,17.5
03/26/2015 03:00:00,18,13.1,16.5
03/27/2015 03:00:00,16.4,11.5,16
03/28/2015 03:00:00,16.5,11.8,17
03/29/2015 03:00:00,19.3,13.5,19.5
03/30/2015 03:00:00,16.5,9.5,16.7
03/31/2015 03:00:00,13.6,9.4,14.5
04/01/2015 3:00,15.5,10.8,14.6
04/02/2015 3:00,14.9,11.6,14.7
04/03/2015 3:00,16.6,9,15.5
04/04/2015 3:00,15,9.5,13.6
04/05/2015 3:00,11.3,8.5,11
04/06/2015 3:00,13.9,10,13
04/07/2015 3:00,15.5,11.6,12
04/08/2015 3:00,14.7,10.7,13
04/09/2015 3:00,14.8,10.4,13
04/10/2015 3:00,16.2,12.2,14.5
04/11/2015 3:00,16.3,12.3,14.5
04/12/2015 3:00,18.2,13.6,16.5
04/13/2015 03:00:00,16.5,10.6,12
04/14/2015 03:00:00,15.2,11,15.5
04/15/2015 03:00:00,16.5,12.7,17
04/16/2015 03:00:00,16.6,12.5,16.3
04/17/2015 03:00:00,17.3,12.5,16.5
04/18/2015 03:00:00,16,11,16
04/19/2015 03:00:00,16.4,12.5,16.3
04/20/2015 03:00:00,21.5,15,20.4
04/21/2015 03:00:00,21.7,15.3,21
04/22/2015 03:00:00,16.5,13.5,18
04/23/2015 03:00:00,14,11.5,18.5
04/24/2015 03:00:00,14.7,12,14.2
04/25/2015 03:00:00,17.6,11,18
04/26/2015 03:00:00,17.2,10.5,16
04/27/2015 03:00:00,17.8,12,17
04/28/2015 03:00:00,18,13,17.4
04/29/2015 03:00:00,16.3,11.5,16
04/30/2015 03:00:00,17.5,12.5,15.5
05/01/2015 3:00,18.1,12.7,17.6
05/02/2015 3:00,16.5,9.5,15.3
05/03/2015 3:00,13.2,10.5,12
05/04/2015 3:00,17.1,13.5,15.5
05/05/2015 3:00,17.7,13.5,16.7
05/06/2015 3:00,20.5,14.5,19
05/07/2015 3:00,20.2,15.3,19.9
05/08/2015 3:00,20.3,15,20
05/09/2015 3:00,20.8,16,21
05/10/2015 3:00,21.3,15.6,20.5
05/11/2015 3:00,18.7,14.5,18.5
05/12/2015 3:00,16.8,13,17.8
05/13/2015 03:00:00,20.6,16,20.7
05/14/2015 03:00:00,21.1,15,21
05/15/2015 03:00:00,21.6,17.5,21.8
05/16/2015 03:00:00,20,15,19.5
05/17/2015 03:00:00,17.3,13.8,19.5
05/18/2015 03:00:00,20.6,15.5,19
05/19/2015 03:00:00,21.2,16.8,21
05/20/2015 03:00:00,21,16,21
05/21/2015 03:00:00,20.8,15,20.8
05/22/2015 03:00:00,18.5,15.5,19
05/23/2015 03:00:00,20.1,16.5,19.6
05/24/2015 03:00:00,18,15.4,17
05/25/2015 03:00:00,18.2,15,18.3
05/26/2015 03:00:00,19,15.5,18.5
05/27/2015 03:00:00,18.8,14,21.5
05/28/2015 03:00:00,18.5,15.2,19.4
05/29/2015 03:00:00,20.7,16.4,19.8
05/30/2015 03:00:00,20.2,16.5,21.6
05/31/2015 03:00:00,19.4,17.5,21.4
