Time,Pokhara Airport,Lumle,Begnas,Lamachour
2015-01-31,54.3,101.39999999999999,62.0,56.400000000000006
2015-02-28,30.3,37.0,31.4,44.800000000000004
2015-03-31,167.9,106.4,70.1,134.0
2015-04-30,128.2,87.9,102.5,92.8
2015-05-31,213.8,278.0,246.4,143.2
2015-06-30,506.90000000000003,489.8,430.9,461.2
2015-07-31,923.0,1649.6,941.7,1075.4
2015-08-31,781.8,1193.0,633.6,1063.0
2015-09-30,702.9,601.6999999999999,392.6,629.4
2015-10-31,215.20000000000002,143.7,97.10000000000001,112.8
2015-11-30,2.9000000000000004,0.0,0.0,52.6
2015-12-31,0.0,0.0,0.0,0.0
2016-01-31,2.3000000000000003,7.3,6.7,10.0
2016-02-29,0.1,11.3,0.0,2.6
2016-03-31,93.5,92.2,76.2,90.2
2016-04-30,24.6,40.099999999999994,73.2,29.4
2016-05-31,241.9,318.3,294.4,294.6
2016-06-30,589.0,851.8,719.0,755.6
2016-07-31,877.5,1764.5,993.6,1213.2
2016-08-31,381.6,553.6,277.5,499.4
2016-09-30,972.0,1256.1,866.0,1290.2
2016-10-31,335.4,247.39999999999998,151.70000000000002,319.4
2016-11-30,0.0,0.0,0.0,0.0
2016-12-31,0.0,3.0,0.0,0.0
2017-01-31,5.5,34.3,11.5,9.0
2017-02-28,0.0,0.1,0.0,0.0
2017-03-31,108.3,136.4,94.3,156.8
2017-04-30,330.9,162.5,258.2,204.0
2017-05-31,291.2,330.6,309.3,188.0
2017-06-30,482.6,659.6,417.2,587.0
2017-07-31,1071.0,1702.7,800.1,1159.3999999999999
2017-08-31,620.5,1080.4,637.7,1184.4
2017-09-30,712.1,578.6,490.4,756.6
2017-10-31,120.6,343.7,46.5,338.40000000000003
2017-11-30,0.6,1.5,0.0,2.8
2017-12-31,0.0,0.0,0.0,0.0
2018-01-31,1.4,4.5,3.0,0.0
2018-02-28,0.0,30.0,13.2,15.0
2018-03-31,55.6,82.3,25.1,55.0
2018-04-30,220.9,155.6,272.1,157.4
2018-05-31,437.2,243.5,315.1,251.2
2018-06-30,365.8,616.7,578.5,732.4
2018-07-31,702.8,1574.7,831.0,1091.3999999999999
2018-08-31,600.4,1503.7,553.4,834.2
2018-09-30,557.6,785.2,488.09999999999997,589.4
2018-10-31,57.4,50.800000000000004,126.3,109.2
2018-11-30,0.6,8.0,0.0,0.0
2018-12-31,0.0,0.0,0.0,0.0
2019-01-31,34.800000000000004,76.9,37.2,40.2
2019-02-28,113.5,141.8,97.1,85.4
2019-03-31,91.2,46.1,103.4,95.0
2019-04-30,180.4,232.5,219.7,190.6
2019-05-31,350.0,250.2,286.5,376.8
2019-06-30,608.3,381.8,597.3,586.8
2019-07-31,545.0,1128.6,362.3,828.2
2019-08-31,317.9,1441.6,265.7,459.8
2019-09-30,612.1,1149.5,537.5,681.1999999999999
2019-10-31,200.1,245.6,40.5,271.9
2019-11-30,9.2,10.0,0.0,0.0
2019-12-31,39.6,55.6,33.4,48.800000000000004
2020-01-31,73.84,99.0,63.7,76.4
2020-02-29,21.31,55.7,17.3,23.2
2020-03-31,106.82000000000001,83.73,87.4,59.4
2020-04-30,232.10999999999999,304.6,322.8,227.2
2020-05-31,444.53000000000003,285.5,426.0,378.4
2020-06-30,735.53,997.0,564.2,884.6
2020-07-31,1490.51,1579.4,1308.5,1209.6
2020-08-31,865.21,1329.7,1018.5,1040.6
2020-09-30,1433.4,1373.3,1834.5,1248.2
2020-10-31,51.0,117.0,134.46666666,98.6
2020-11-30,0.0,1.5,0.0,0.0
2020-12-31,0.0,0.0,12.551666667,16.566666667
2021-01-31,0.0,2.4,0.0,0.0
2021-02-28,24.7,41.3,28.4,22.81
2021-03-31,60.32000000000001,35.1,19.830000000000002,31.42
2021-04-30,64.03,31.3,112.11,60.6
2021-05-31,280.01,430.3,383.01,332.27
2021-06-30,928.74,1139.0,951.4,1016.4300000000001
2021-07-31,1347.1,1529.7,1340.01,1194.8
2021-08-31,1162.1200000000001,1185.5,1115.71,1044.4
2021-09-30,831.61,743.0,539.52,647.42
2021-10-31,473.9,413.8,344.7,340.82
2021-11-30,0.01,22.41,0.0,0.0
2021-12-31,44.12,53.2,41.91,50.6
2022-01-31,1.3599999999999999,25.51,1.62,16.8
2022-02-28,72.72,95.71000000000001,94.5,43.6
2022-03-31,40.81,28.4,23.51,64.2
2022-04-30,142.71,124.01,150.73,139.0
2022-05-31,349.14,302.91,301.73,287.8
2022-06-30,808.62,911.3,884.5,877.8
2022-07-31,591.81,1220.4,599.61,899.6
