Date,2015,2016,2017,2018,2019,2020,2021,2022
01-Jan,0,0,0,0,0,0,0,0
02-Jan,15.4,0,0,0,0,0,0,0
03-Jan,21.4,0,0,0,0,0.01,0,0
04-Jan,15.9,0,0,0,0,30.9,0,0
05-Jan,0,0,0,0,0,1.9,0,0
06-Jan,0,0,0,0,0,0,0,0.2
07-Jan,0,0,0,0,0,0,0,0
08-Jan,1.6,0,0,0,0,0.01,0,0
09-Jan,0,0.1,0,0,0,3.5,0,0.01
10-Jan,0,0,0,0,0,0.7,0,0
11-Jan,0,0,0,0,0,0,0,0
12-Jan,0,0,0,0,0,0.3,0,0
13-Jan,0,0,0,0,0,0,0,0.6
14-Jan,0,0,0,0,0,0,0,0
15-Jan,0,0,0,0,0,0,0,0
16-Jan,0,0,0,0,0,0.7,0,0
17-Jan,0,0,0,0,0,22.5,0,0
18-Jan,0,0,0,0,0,10,0,0
19-Jan,0,0,0,0,0,0.01,0,0
20-Jan,0,0,0,0,0,0,0,0.01
21-Jan,0,2.1,0,0,0,0,0,0.01
22-Jan,0,0.1,0,0,0,0,0,0.01
23-Jan,0,0,5.5,0,4.1,0,0,0
24-Jan,0,0,0,0.6,1,0,0,0.5
25-Jan,0,0,0,0.8,0,0,0,0
26-Jan,0,0,0,0,28,0,0,0
27-Jan,0,0,0,0,1.7,0.01,0,0.01
28-Jan,0,0,0,0,0,0,0,0.01
29-Jan,0,0,0,0,0,0,0,0
30-Jan,0,0,0,0,0,2.9,0,0
31-Jan,0,0,0,0,0,0.4,0,0
01-Feb,0,0,0,0,0,0,0,0
02-Feb,0,0,0,0,0,0,0,0.01
03-Feb,0,0,0,0,0,0,0,0
04-Feb,3.8,0,0,0,0,0,0,23.6
05-Feb,0,0,0,0,0,0,0.2,8.5
06-Feb,0,0,0,0,5.5,0,5.8,0
07-Feb,0,0,0,0,22.8,0,0,0
08-Feb,0,0.1,0,0,35.7,0,0,0
09-Feb,0,0,0,0,0,3.1,0,0
10-Feb,0,0,0,0,0,0,0,1.7
11-Feb,0,0,0,0,0,0,0,0
12-Feb,0,0,0,0,0,0,0,0.6
13-Feb,0,0,0,0,0,0,0,0
14-Feb,0,0,0,0,0,0,0,0
15-Feb,0,0,0,0,0.5,0,0,0
16-Feb,0,0,0,0,19.2,0,8.4,0
17-Feb,0,0,0,0,0,0,6.8,0
18-Feb,0,0,0,0,1.6,0,0,0.1
19-Feb,19.5,0,0,0,9.3,0,0,0
20-Feb,0,0,0,0,0,0,0,6.7
21-Feb,0,0,0,0,0,0,0,20.2
22-Feb,0,0,0,0,0,1.8,0,0
23-Feb,0,0,0,0,0,0,0,0
24-Feb,0,0,0,0,0,0,0,0
25-Feb,0,0,0,0,0.1,2.3,0,0
26-Feb,3,0,0,0,0,14.1,0,7.3
27-Feb,4,0,0,0,8.2,0.01,0.7,4
28-Feb,0,0,0,0,10.6,0,2.8,0.01
01-Mar,0,0,0,0,10.2,0,1.4,0
02-Mar,26.9,0,0,6.1,0,0,0,3.2
03-Mar,4.1,0,0,0.1,0.9,0.7,0,0.2
04-Mar,11.9,3.8,0,0,0.8,0,0,3.5
05-Mar,0,0.4,0,0,5.9,36.6,0,0
06-Mar,0,3.4,0,0,0.2,0.8,0,0
07-Mar,0.6,20.8,0,0,0,0,0,0
08-Mar,0,8.1,0,0,0,25.8,0.6,0
09-Mar,0,0.2,2.8,7.4,8.4,0,0.01,0
10-Mar,0,0,1.6,20.2,0.5,0,0.01,0
11-Mar,0,0,26.6,0,0,0,45.7,0
12-Mar,0,0,4.9,4.6,0,0,1,0
13-Mar,0,0,0,0.9,0,0,0.6,0
14-Mar,0,0,0,0,0,0,0,0
15-Mar,33.1,2.8,0,0,0,0.01,0,0
16-Mar,3,1.3,0,6.5,0,2.1,0.7,0
17-Mar,0,0,10.6,0,0,0,3.2,0
18-Mar,0,0,0,0.8,0,0,0.2,0
19-Mar,10.2,0,0,0,0,0.2,5.8,0
20-Mar,0,0,4.1,0,0.7,10.9,0,0
21-Mar,0,0,0,0,4.4,8,0.6,0
22-Mar,0,0,0,0,0,2.6,0,4.4
23-Mar,0,0,0,0,0,0,0,15.7
24-Mar,0,0,0,0,0,0.01,0,2
25-Mar,0,0,0,0,0,0,0,2.8
26-Mar,0,0,27,0,0.8,0,0,0.01
27-Mar,54.4,0,0,0,14.4,18.9,0,0
28-Mar,6.6,0,9.1,0,0,0,0,0
29-Mar,0,0.9,8.1,5.8,0,0.2,0.3,0
30-Mar,1.8,15.3,10.5,0.7,13.9,0,0.2,8.7
31-Mar,15.3,0,3,2.5,30.1,0,0,0.3
01-Apr,0,36.5,1.1,0,7.7,0,20.4,0.2
02-Apr,0,1.7,28.1,0,0,2.9,0.01,0.1
03-Apr,0,6.1,8.1,0,0,39.4,0,14.2
04-Apr,0.7,1.8,25.2,5.2,0.2,0,0,1.8
05-Apr,3,0,45.4,31.6,6.6,0,0,9.9
06-Apr,0,8,27,0,5,0.2,0,1.5
07-Apr,0,0,6,3.8,7,0,0,16.6
08-Apr,0,0,7.1,25.9,0.7,0,0,12.2
09-Apr,0,0,0,0,0,0,0,9.9
10-Apr,0,0,0,0.7,0,0,0.01,2.9
11-Apr,0.1,0,0,12.9,0.2,0.01,0,21.6
12-Apr,0,0,0,20.4,0,0,0,0
13-Apr,16.1,0,0,8.4,0.4,0,0,6.4
14-Apr,2.7,0,0,2.2,6,0,2.1,0
15-Apr,0,0.7,6.3,0,19.4,42.3,0,0
16-Apr,0,0,0,0,15.8,4.1,7,0
17-Apr,0,0,0,25.3,18.3,11.7,0.5,1.1
18-Apr,0.4,2.7,0,28.5,0.5,11,11,0
19-Apr,0.4,0.3,0,4.7,0,24.6,10.5,0
20-Apr,0,3.3,0,19.8,0,1.6,0,18.3
21-Apr,0,0,5.8,0,0,1.8,0.01,9.5
22-Apr,25.4,0,98.7,5.5,1,6.4,4.8,0
