Time,Pokhara Airport,Lumle,Begnas
01/01/2015 12:00:00,17.6,15,17.5
01/02/2015 12:00:00,17.1,12.5,17.5
01/03/2015 12:00:00,17,13.5,17.5
01/04/2015 12:00:00,22.6,14.5,22.5
01/05/2015 12:00:00,20.5,13.5,20.6
01/06/2015 12:00:00,21.2,13,20.5
01/07/2015 12:00:00,20.8,13.5,20
01/08/2015 12:00:00,21,13,21.5
01/09/2015 12:00:00,21.5,15,21.6
01/10/2015 12:00:00,21.3,16,21.6
01/11/2015 12:00:00,19.4,15.5,18.3
01/12/2015 12:00:00,20.4,15,21
01/13/2015 12:00:00,21.5,14.5,21
01/14/2015 12:00:00,22,14,21
01/15/2015 12:00:00,22.2,14.5,22.5
01/16/2015 12:00:00,21.8,14.5,22
01/17/2015 12:00:00,21.2,14,22.9
01/18/2015 12:00:00,21,13.5,21.5
01/19/2015 12:00:00,21.5,14.5,21.5
01/20/2015 12:00:00,21.5,14.5,21.5
01/21/2015 12:00:00,22.5,15.5,23
01/22/2015 12:00:00,20.7,15.5,21
01/23/2015 12:00:00,22.7,15.5,23
01/24/2015 12:00:00,22.8,15.5,23
01/25/2015 12:00:00,21.2,15.5,21.5
01/26/2015 12:00:00,21,13,20.5
01/27/2015 12:00:00,22.3,15,22
01/28/2015 12:00:00,22.5,15,22
01/29/2015 12:00:00,22,14,22.2
01/30/2015 12:00:00,20.2,13.5,20.9
01/31/2015 12:00:00,19.3,12,19.5
02/01/2015 12:00:00,19.6,13,20
02/02/2015 12:00:00,22.5,14,23
02/03/2015 12:00:00,22.6,17,22.5
02/04/2015 12:00:00,22.5,16.5,23.5
02/05/2015 12:00:00,23.2,16,23
02/06/2015 12:00:00,22.7,16,23.8
02/07/2015 12:00:00,22.6,14.5,23.7
02/08/2015 12:00:00,19.5,13,23.8
02/09/2015 12:00:00,23.2,16.5,24
02/10/2015 12:00:00,23.5,16.5,24
02/11/2015 12:00:00,21.4,15.5,24.5
02/12/2015 12:00:00,22.6,15.5,22.8
02/13/2015 12:00:00,22.4,15,23.5
02/14/2015 12:00:00,22.9,13.5,23
02/15/2015 12:00:00,22.6,14.5,22.5
02/16/2015 12:00:00,22.8,16,23.6
02/17/2015 12:00:00,23.7,16.5,24
02/18/2015 12:00:00,22.7,15,24
02/19/2015 12:00:00,22.8,15.5,23.5
02/20/2015 12:00:00,23.8,17.5,25
02/21/2015 12:00:00,24.5,16.5,24.5
02/22/2015 12:00:00,25.5,19,26
02/23/2015 12:00:00,26.1,17.5,26.5
02/24/2015 12:00:00,26,17,27.3
02/25/2015 12:00:00,24.8,17,25
02/26/2015 12:00:00,21.3,14.5,23
02/27/2015 12:00:00,25.5,18.5,26.5
02/28/2015 12:00:00,23.5,18,23.2
03/01/2015 12:00:00,19.8,13.5,17
03/02/2015 12:00:00,19.3,12,17.2
03/03/2015 12:00:00,23.2,14.5,18.2
03/04/2015 12:00:00,23.3,15.5,23.2
03/05/2015 12:00:00,23.5,16,24.1
03/06/2015 12:00:00,24.5,17,25
03/07/2015 12:00:00,25.2,17,25.5
03/08/2015 12:00:00,26.5,17.5,26.6
03/09/2015 12:00:00,28.7,20.5,29
03/10/2015 12:00:00,28,21,29
03/11/2015 12:00:00,28.2,22,29.4
03/12/2015 12:00:00,28.2,21,29.5
03/13/2015 12:00:00,27.4,21.5,28.6
03/14/2015 12:00:00,27.4,20.5,28.5
03/15/2015 12:00:00,19.7,15.5,20.5
03/16/2015 12:00:00,26.3,18.5,27.4
