Date,Sum of Precipitation ,Average Air Temperature,Average Relative Humidity,Average Wind speed ,Week
17/11/2019,0,19.87,85.60,1.28,1
24/11/2019,0,17.77,88.97,1.23,2
01/12/2019,0.2,16.52,89.09,1.19,3
08/12/2019,0.2,14.35,85.04,1.31,4
15/12/2019,36.3,13.07,90.66,1.31,1
22/12/2019,0.3,11.53,91.47,1.16,2
29/12/2019,0.2,9.85,91.83,1.17,3
05/01/2020,27.9,10.65,85.67,1.40,4
12/01/2020,3.3,10.08,96.35,1.12,1
19/01/2020,24.3,11.83,92.91,1.27,2
26/01/2020,0.5,11.36,83.55,1.31,3
02/02/2020,0.3,11.97,78.60,1.47,4
09/02/2020,7.8,12.35,80.80,1.58,1
16/02/2020,0,14.91,78.61,1.37,2
23/02/2020,2.5,15.37,85.46,1.51,3
01/03/2020,15.2,15.29,83.44,1.65,4
08/03/2020,67,16.11,78.27,1.85,1
15/03/2020,0,18.92,73.05,1.66,2
22/03/2020,25.4,16.93,80.75,1.82,3
29/03/2020,21.4,20.59,78.39,1.69,4
05/04/2020,48,20.03,73.44,1.88,1
12/04/2020,0,21.56,66.40,1.92,2
19/04/2020,94.9,20.90,85.50,1.86,3
26/04/2020,37.4,19.55,86.39,1.76,4
03/05/2020,134.6,21.15,87.97,1.66,1
10/05/2020,26.8,20.78,86.54,1.63,2
17/05/2020,75.4,23.01,86.78,1.69,3
24/05/2020,149.4,23.69,88.80,1.56,4
31/05/2020,94,22.43,91.55,1.56,1
07/06/2020,118.4,22.58,93.44,1.54,2
14/06/2020,89.4,26.49,87.59,1.83,3
21/06/2020,201,25.27,94.96,1.58,4
28/06/2020,127.8,25.09,96.35,1.42,1
05/07/2020,108,25.92,92.72,1.65,2
12/07/2020,590.6,25.16,96.53,1.54,3
19/07/2020,190.6,24.86,96.26,1.54,4
26/07/2020,392.8,24.50,97.58,1.38,1
02/08/2020,240.8,24.92,98.56,1.35,2
09/08/2020,209.8,26.58,94.19,1.66,3
16/08/2020,290.6,25.59,95.94,1.62,4
23/08/2020,144.2,25.41,96.09,1.63,1
30/08/2020,140.4,25.60,93.87,1.57,2
06/09/2020,424.4,25.60,96.40,1.50,3
13/09/2020,387.6,24.65,97.66,1.48,4
20/09/2020,410.6,24.33,98.07,1.39,1
27/09/2020,309.1,23.39,95.56,1.53,2
04/10/2020,66.8,24.23,89.45,1.56,3
11/10/2020,37.7,24.34,81.87,1.30,4
18/10/2020,0.4,24.26,81.54,1.43,1
25/10/2020,6.8,22.21,81.01,1.42,2
01/11/2020,0,20.26,73.48,1.49,3
